month	day	year	Tmax
06	15	1988	95
06	16	1988	95
06	17	1988	92
06	18	1988	80
06	19	1988	86
06	20	1988	86
06	21	1988	94
06	22	1988	98
06	23	1988	100
06	24	1988	98
06	25	1988	79
06	26	1988	83
06	27	1988	93
06	28	1988	81
06	29	1988	86
06	30	1988	85
07	01	1988	78
07	02	1988	76
07	03	1988	83
07	04	1988	88
07	05	1988	90
07	06	1988	90
07	07	1988	97
07	08	1988	98
07	09	1988	97
07	10	1988	95
07	11	1988	100
07	12	1988	99
07	13	1988	81
07	14	1988	94
07	15	1988	96
07	16	1988	100
07	17	1988	102
07	18	1988	100
07	19	1988	93
07	20	1988	90
07	21	1988	90
07	22	1988	88
07	23	1988	81
07	24	1988	81
07	25	1988	88
07	26	1988	92
07	27	1988	90
07	28	1988	84
07	29	1988	86
07	30	1988	95
07	31	1988	99
08	01	1988	93
08	02	1988	94
08	03	1988	94
08	04	1988	90
08	05	1988	92
08	06	1988	91
08	07	1988	92
08	08	1988	92
08	09	1988	94
08	10	1988	93
08	11	1988	95
08	12	1988	93
08	13	1988	95
08	14	1988	97
08	15	1988	98
08	16	1988	102
08	17	1988	93
08	18	1988	102
08	19	1988	90
08	20	1988	75
08	21	1988	70
08	22	1988	82
08	23	1988	78
08	24	1988	76
08	25	1988	88
08	26	1988	89
08	27	1988	92
08	28	1988	91
08	29	1988	84
08	30	1988	78
08	31	1988	75
09	01	1988	81
09	02	1988	81
09	03	1988	79
09	04	1988	82
09	05	1988	77
09	06	1988	77
09	07	1988	70
09	08	1988	72
09	09	1988	73
09	10	1988	80
09	11	1988	82
09	12	1988	84
09	13	1988	78
09	14	1988	89
09	15	1988	78
09	16	1988	74
09	17	1988	70
09	18	1988	70
09	19	1988	81
09	20	1988	84
09	21	1988	83
09	22	1988	77
09	23	1988	75
09	24	1988	91
09	25	1988	70
09	26	1988	60
09	27	1988	75
09	28	1988	76
09	29	1988	82
09	30	1988	60
10	01	1988	75
10	02	1988	78
10	03	1988	80
10	04	1988	64
10	05	1988	64
10	06	1988	61
10	07	1988	61
10	08	1988	55
10	09	1988	56
10	10	1988	63
10	11	1988	69
10	12	1988	66
10	13	1988	55
10	14	1988	50
10	15	1988	60
10	16	1988	74
10	17	1988	75
10	18	1988	74
10	19	1988	68
10	20	1988	62
10	21	1988	59
10	22	1988	53
10	23	1988	57
10	24	1988	60
10	25	1988	65
10	26	1988	64
10	27	1988	57
10	28	1988	60
10	29	1988	70
10	30	1988	56
10	31	1988	53
11	01	1988	50
11	02	1988	48
11	03	1988	52
11	04	1988	61
11	05	1988	69
11	06	1988	66
11	07	1988	63
11	08	1988	55
11	09	1988	60
11	10	1988	60
11	11	1988	64
11	12	1988	63
11	13	1988	51
11	14	1988	61
11	15	1988	65
11	16	1988	61
11	17	1988	67
11	18	1988	51
11	19	1988	55
11	20	1988	45
11	21	1988	59
11	22	1988	57
11	23	1988	50
11	24	1988	50
11	25	1988	48
11	26	1988	55
11	27	1988	63
11	28	1988	68
11	29	1988	51
11	30	1988	48
12	01	1988	54
12	02	1988	49
12	03	1988	46
12	04	1988	62
12	05	1988	43
12	06	1988	49
12	07	1988	59
12	08	1988	60
12	09	1988	50
12	10	1988	35
12	11	1988	35
12	12	1988	30
12	13	1988	24
12	14	1988	26
12	15	1988	46
12	16	1988	51
12	17	1988	31
12	18	1988	32
12	19	1988	33
12	20	1988	53
12	21	1988	65
12	22	1988	53
12	23	1988	44
12	24	1988	42
12	25	1988	60
12	26	1988	53
12	27	1988	43
12	28	1988	53
12	29	1988	69
12	30	1988	36
12	31	1988	40
